id	v1_100_S_mapping	v1_100_S_precision	v1_150_S_mapping	v1_150_S_precision	v1_300_S_mapping	v1_300_S_precision	v1v2_600_P_mapping	v1v2_600_P_precision	v1v3_600_P_mapping	v1v3_600_P_precision	v3_100_S_mapping	v3_100_S_precision	v3_150_S_mapping	v3_150_S_precision	v3_300_S_mapping	v3_300_S_precision	v3_300_P_mapping	v3_300_P_precision	v3v4_600_P_mapping	v3v4_600_P_precision	v3v5_600_P_mapping	v3v5_600_P_precision	v4_100_S_mapping	v4_100_S_precision	v4_150_S_mapping	v4_150_S_precision	v4_300_S_mapping	v4_300_S_precision	v4_300_P_mapping	v4_300_P_precision	v4v5_600_P_mapping	v4v5_600_P_precision	v4v6_600_P_mapping	v4v6_600_P_precision	v5_100_S_mapping	v5_100_S_precision	v5_150_S_mapping	v5_150_S_precision	v5_300_S_mapping	v5_300_S_precision	v5_200_P_mapping	v5_200_P_precision	v5v6_300_P_mapping	v5v6_300_P_precision	v6_100_S_mapping	v6_100_S_precision	v6_150_S_mapping	v6_150_S_precision	v6_300_S_mapping	v6_300_S_precision	v6_200_P_mapping	v6_200_P_precision	v6v8_600_P_mapping	v6v8_600_P_precision	v7_100_S_mapping	v7_100_S_precision	v7_150_S_mapping	v7_150_S_precision	v7_300_S_mapping	v7_300_S_precision	v7v8_600_P_mapping	v7v8_600_P_precision	v7v9_600_P_mapping	v7v9_600_P_precision
c__028H05_P_BN_P5;	0.454545	0.135877	0.454545	0.135877	0.454545	0.135877	0	0	0.272727	0.081526	1	0.298929	1	0.298929	1	0.298929	0.909091	0.271754	0.818182	0.244578	0.545455	0.163052	0.909091	0.271754	0.909091	0.271754	0.909091	0.271754	0.818182	0.244578	0.818182	0.244578	0.727273	0.217403	0.818182	0.244578	0.818182	0.244578	0.909091	0.271754	0.909091	0.271754	0.727273	0.217403	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.181818	0.027175	0.181818	0.054351	0.090909	0.027175	0	0
c__0319_6E2;	0.328358	0.093694	0.328358	0.093694	0.328358	0.098156	0.029851	0.008923	0.283582	0.084771	0.059701	0	0.059701	0.017846	0.059701	0.017846	0.059701	0.017846	0.044776	0.013385	0.059701	0.017846	0.835821	0.249851	0.910448	0.272159	0.865672	0.258774	0.716418	0.214158	0.835821	0.249851	0.791045	0.236466	0.791045	0.236466	0.791045	0.236466	0.80597	0.240928	0.761194	0.227543	0.776119	0.232004	0	0	0	0	0	0	0	0	0	0	0.925373	0.276621	0.970149	0.290006	0.940299	0.281083	0.656716	0.196311	0.402985	0.120464
c__12_24;	0.333333	0.183165	0.444444	0.253705	0.388889	0.228227	0.444444	0.253705	0.111111	0.07054	1	0.289462	1	0.558368	0.833333	0.46235	1	0.558368	0.833333	0.481931	0	0	0.888889	0.468246	1	0.558368	0.944444	0.513307	0.944444	0.513307	0.833333	0.471221	0.888889	0.468246	1	0.549497	1	0.549497	1	0.558368	0.888889	0.481933	1	0.558368	1	0.541004	1	0.541004	1	0.558368	1	0.541004	0.777778	0.417289	1	0.558368	1	0.558368	0.944444	0.54176	0.833333	0.46235	0.444444	0.253705
c__3BR_5F;	0.415385	0.124171	0.430769	0.128769	0.430769	0.128769	0.415385	0.124171	0.415385	0.124171	0.892308	0.266737	0.953846	0.285132	0.969231	0.289731	0.8	0.239143	0.753846	0.225346	0	0	0.846154	0.25294	0.892308	0.266737	0.876923	0.262138	0.753846	0.225346	0	0	0.784615	0.234544	0.753846	0.225346	0.784615	0.234544	0.769231	0.229945	0	0	0.723077	0.216149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__4C0d_2;	0.273973	0.125649	0.292237	0.134025	0.292237	0.134025	0.278539	0.127743	0.287671	0.131931	0.808219	0.370663	0.885845	0.406264	0.863014	0.395793	0.844749	0.387416	0.776256	0.356004	0.634703	0.291086	0.908676	0.416734	0.96347	0.441864	0.940639	0.429299	0.876712	0.402075	0.899543	0.410452	0.255708	0.117272	0.013699	0.006283	0.013699	0.006283	0.013699	0.006283	0.004566	0.002094	0	0	0.712329	0.326686	0.771689	0.35391	0.748858	0.343439	0.26484	0.119366	0.611872	0.280615	0.890411	0.408358	0.931507	0.427205	0.917808	0.420922	0.771689	0.35391	0.273973	0.125649
c__4_29;	0.076923	0.022995	0.076923	0.022995	0.076923	0.022995	0.076923	0.022995	0.076923	0.022995	0.923077	0.275934	0.923077	0.275934	1	0.298929	0.923077	0.275934	0.923077	0.275934	0.307692	0.091978	0.846154	0.25294	0.923077	0.275934	0.923077	0.275934	0.923077	0.275934	1	0.298929	0.846154	0.25294	0.923077	0.275934	0.923077	0.275934	0.923077	0.275934	0.923077	0.275934	0.923077	0.275934	0.538462	0.160962	0.538462	0.160962	0.538462	0.160962	0.461538	0.137967	0.538462	0.160962	0.769231	0.229945	0.846154	0.25294	0.846154	0.25294	0.769231	0.229945	0.153846	0.045989
c__A712011;	0	0	0	0	0	0	0	0	0	0	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	1	0.298929	0	0	0	0	0	0	0	0	0	0	1	0.298929	1	0.298929	1	0.298929	0	0	0	0
c__AAG;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.298929	1	0.298929	0.833333	0.249107	0	0	0.833333	0.249107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__AB16;	0.517857	0.355977	0.553571	0.415101	0.547619	0.419246	0.541667	0.414418	0.452381	0.352436	0.869048	0.622258	0.89881	0.656147	0.892857	0.665895	0.875	0.647905	0.559524	0.40697	0.035714	0.021723	0.904762	0.670579	0.970238	0.71949	0.946429	0.708201	0.607143	0.445397	0.880952	0.665582	0.708333	0.533911	0.630952	0.457713	0.696429	0.502428	0.672619	0.48358	0.607143	0.444696	0.119048	0.063581	0.863095	0.613523	0.892857	0.634615	0.904762	0.667409	0.833333	0.591534	0.72619	0.535053	0.642857	0.464546	0.672619	0.491561	0.672619	0.483951	0.517857	0.363715	0.363095	0.263481
c__ABS_6;	0.105263	0.031466	0.105263	0.031466	0.105263	0.031466	0.105263	0.031466	0.105263	0.031466	0.894737	0.251371	0.947368	0.27515	0.947368	0.283196	0.736842	0.212218	0.894737	0.267463	0	0	0.789474	0.235997	0.789474	0.235997	0.736842	0.220263	0.736842	0.220263	0	0	0.578947	0.173064	0.894737	0.267463	0.947368	0.283196	0.947368	0.283196	0	0	0.947368	0.283196	0.473684	0.141598	0.473684	0.141598	0.473684	0.141598	0.473684	0.141598	0.263158	0.078666	0.842105	0.25173	0.894737	0.267463	0.842105	0.25173	0.684211	0.204531	0.210526	0.062932
